,Feature,Total,UpdatedFeatureName
1,actual apt. photos,50,actual_apt_photos
2,air conditioning,68,air_conditioning
7,central a/c,119,air_conditioning
3,balcony,2819,balcony
74,private balcony,51,balcony
4,bike room,171,bike_room
6,cats allowed,9352,cats_allowed
8,children's playroom,73,childrens_playroom
11,common roof deck,89,common_roof_deck
12,concierge,138,concierge
13,courtyard,51,courtyard
14,decorative fireplace,53,decorative_fireplace
15,dining room,3282,dining_room
16,dishwasher,9757,dishwasher
17,dogs allowed,8471,dogs_allowed
18,doorman,9080,doorman
26,full-time doorman,121,doorman
19,duplex,133,duplex
20,eat in kitchen,149,eat_in_kitchen
21,elevator,11728,elevator
22,exclusive,1096,exclusive
23,exposed brick,197,exposed_brick
24,fireplace,842,fireplace
25,fitness center,6591,fitness_center
33,gym,114,fitness_center
34,gym/fitness,127,fitness_center
27,furnished,705,furnished
28,garage,388,garage
62,on-site garage,71,garage
29,garden,171,garden
30,garden/patio,1894,garden
31,granite kitchen,101,granite_kitchen
32,green building,203,green_building
35,hardwood,590,hardwood
36,hardwood floors,9710,hardwood
37,health club,52,health_club
38,high ceiling,288,high_ceiling
39,high ceilings,717,high_ceiling
40,high speed internet,2454,high_speed_internet
41,highrise,54,highrise
42,laundry,278,laundry
43,laundry in building,10009,laundry
44,laundry in unit,5651,laundry
45,laundry room,522,laundry
63,on-site laundry,442,laundry
46,light,142,light
47,live in super,417,live_in_super
49,live-in super,87,live_in_super
50,live-in superintendent,191,live_in_super
48,live/work,53,live_work
51,loft,1442,loft
52,lounge,129,lounge
53,lowrise,345,lowrise
54,luxury building,89,luxury_building
55,marble bath,70,marble_bath
56,microwave,89,microwave
57,multi-level,684,multi_level
58,new construction,1694,new_construction
60,no fee,7702,no_fee
61,no pets,78,no_pets
64,on-site super,64,on_site_super
65,outdoor areas,77,outdoor_areas
9,common outdoor space,1246,outdoor_space
5,building-common-outdoor-space,76,outdoor_space
66,outdoor space,4282,outdoor_space
69,patio,143,outdoor_space
76,publicoutdoor,66,outdoor_space
10,common parking/garage,128,parking
67,parking,121,parking
68,parking space,545,parking
70,pets on approval,125,pets_on_approval
72,prewar,814,prewar
73,pre-war,2964,prewar
75,private outdoor space,829,private_outdoor_space
77,reduced fee,838,reduced_fee
59,newly renovated,200,renovated
78,renovated,419,renovated
79,roof deck,4049,roof_deck
80,roofdeck,73,roof_deck
81,roof-deck,272,roof_deck
82,short term allowed,156,short_term_allowed
83,simplex,449,simplex
84,stainless steel appliances,318,stainless_steel_appliances
85,storage,157,storage
86,sublet,80,sublet
71,pool,273,swimming_pool
87,swimming pool,1793,swimming_pool
88,terrace,2344,terrace
89,valet,82,valet
90,view,60,view
91,virtual doorman,66,virtual_doorman
92,walk in closet(s),124,walk_in_closet
93,washer & dryer,63,washer_dryer
94,washer/dryer,183,washer_dryer
95,wheelchair access,964,wheelchair_access
